Sols;Na2O;MgO;Al2O3;SiO2;P2O5;SO3;Cl;K2O;CaO;TiO2;Cr2O3;MnO;FeO;Ni;Zn;Br;Amorphous;Pyroxene;Sulfate;Magnetite;Hematite;Feldspar;Plagioclase;Clay;Rank;Latitude;Longitude
605;2.68;8.82;8.76;42.29;0.89;5.82;0.76;0.45;6.99;1.05;0.52;0.44;20.4;557;283;23;31.62;22.6;2.71;2.67;0;2.01;15.82;22.57;114;-4.638727357;137.4022491
612;2.09;9.18;6.83;39.84;0.9;6.42;1.33;1.71;5.49;1.02;0.41;0.67;23.38;410;3584;1819;29.76;24.52;2.36;3.49;0;1.98;15.82;22.06;115;-4.638842854;137.40201
612;1.98;9.03;7.08;40.11;0.91;6.27;1.34;1.76;5.54;0.98;0.38;0.65;23.33;439;3828;1608;28.42;26.25;2.36;3.49;0;1.98;15.44;22.06;116;-4.638842854;137.40201
612;1.95;9.18;6.9;40.04;0.92;6.16;1.33;1.79;5.47;1.02;0.41;0.59;23.57;371;3429;1491;28.53;26.25;2.36;3.49;0;1.95;15.36;22.06;117;-4.638842854;137.40201
612;2.05;9.04;7.1;40.14;0.9;6.27;1.3;1.63;5.58;0.95;0.36;0.56;23.38;479;3550;1590;28.58;26.66;2.21;3.49;0;1.91;15.08;22.06;118;-4.638842854;137.40201
612;2.11;9.15;7.15;40.1;0.85;6.13;1.24;1.78;5.45;1.13;0.47;0.5;23.38;448;3738;1079;29.09;26.66;2.19;3.49;0;1.71;14.8;22.06;119;-4.638842854;137.40201
612;1.21;10.87;5.62;40.47;0.81;3.95;1.65;3.01;5.01;1.03;0.42;0.69;24.51;384;3981;1979;28.86;27.3;2.04;3.63;0;1.52;14.8;21.85;120;-4.638842854;137.40201
622;0.27;12.77;5.7;39.42;0.72;2.6;0.72;3.59;4.98;1.18;0.44;0.54;26.37;444;4681;186;29.11;27.58;1.95;3.63;0;1.08;14.8;21.85;121;-4.638842854;137.40201
622;0.5;12.84;5.73;39.86;0.74;2.72;0.85;3.73;4.8;1.2;0.38;0.61;25.56;305;3904;721;31.4;27.58;1.95;4.04;0;1.08;14.8;19.15;122;-4.638842854;137.40201
622;0.4;12.67;5.69;39.3;0.73;2.58;0.8;3.65;4.91;1.15;0.44;0.58;26.5;383;4347;348;33.21;27.58;1.95;4.57;0;0.88;14.8;17.01;123;-4.638842854;137.40201
627;1.01;18.3;4.05;33.38;0.7;4.35;3.36;2.49;4.25;0.91;0.34;4.05;21.58;1101;8156;1888;32.57;27.77;1.95;5.03;0;0.88;14.8;17.01;124;-4.638842854;137.40201
629;1.02;17.79;4.5;34.06;0.76;4.67;3.26;2.31;4.2;0.77;0.35;3.88;21.21;1033;7160;1803;31.58;27.77;1.92;6.04;0;0.88;14.8;17.01;125;-4.638842854;137.40201
