Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
162,808,47.8,13.52,11.22,9.58,4.16,5.96,2.66,1.07,1.25,0.74,1.02,0.29,0.28
163,808,50.09,12.74,11.77,8.06,4.12,5.41,2.81,1.07,1.3,0.65,0.95,0.34,0.31
164,809,50.88,13.94,12.41,6.2,4.27,4.76,2.69,1.04,1.35,0.68,0.64,0.38,0.34
165,809,51.84,13.51,12.41,5.84,4.29,4.47,2.84,1.07,1.44,0.65,0.52,0.39,0.34
166,810,46.52,15.31,10.2,7.38,5.51,7.49,2.67,1.2,1.06,0.63,0.95,0.37,0.37
167,810,43.34,11.67,9.61,13.51,5.59,8.39,2.66,1.09,1.2,0.55,1.1,0.35,0.34
168,813,52.98,12.17,12.25,5.17,3.97,5.64,2.69,1.01,1.24,0.75,1.04,0.44,0.31
169,813,52.85,13.28,12.15,4.33,4.09,5.4,2.75,1.06,1.33,0.76,0.92,0.38,0.32
170,814,51.96,14.14,12.54,4.66,3.78,5.44,2.75,1.11,1.03,0.75,0.76,0.42,0.3
171,814,53.01,13.47,13.22,4.06,3.58,5.09,2.75,1.07,1.12,0.81,0.76,0.42,0.27
172,815,52.6,14.37,11.66,4.03,4.21,5.72,2.8,1.11,1.11,0.75,0.63,0.36,0.32
173,815,55.8,11.99,12.72,3.26,3.77,5.01,2.85,1.1,1.15,0.8,0.48,0.37,0.28
174,819,53.6,15.31,11.56,3.81,4.23,4.44,2.85,0.98,1.19,0.77,0.31,0.35,0.33
175,820,52,15.19,11.18,4.77,4.41,5.34,2.76,0.96,1.16,0.73,0.56,0.36,0.32
176,824,53.01,15.47,10.31,4.78,4.3,5.31,2.53,1,1.11,0.76,0.57,0.33,0.28
177,824,52.98,15.81,10.76,4.46,4.09,4.92,2.73,0.97,1.15,0.76,0.5,0.33,0.3
178,828,52.77,15.67,11.32,3.41,4.08,5.22,2.77,1.11,1.03,0.76,0.87,0.37,0.27
179,830,50.27,14.72,10.43,6.97,5.06,5.74,2.48,0.98,0.85,0.72,0.88,0.38,0.23
180,831,47.55,14.75,9.8,8.69,6.12,6.18,2.46,0.96,0.93,0.67,0.94,0.4,0.23
181,833,48.35,15.76,9.64,6.48,5.04,7.25,2.58,1.03,0.95,0.7,1.26,0.39,0.27
